area_title,occ_code,occ_title,tot_emp,a_pct10,a_pct25,a_pct75,a_pct90
"San Francisco-Oakland-Hayward, CA",15,Computer Network Architects,"4,250","74,580","112,300","169,030","196,990"
"San Francisco-Oakland-Hayward, CA",15,Network and Computer Systems Administrators,"7,070","62,060","79,470","127,920","155,910"
"San Francisco-Oakland-Hayward, CA",15,Database Administrators and Architects,"3,660","58,060","73,930","138,300","165,240"
"San Francisco-Oakland-Hayward, CA",15,Computer Programmers,"6,120","71,880","89,710","143,530","164,820"
"San Francisco-Oakland-Hayward, CA",15,Software Developers and Software Quality Assurance Analysts and Testers,"65,790","87,500","111,880","168,220","205,590"
"San Francisco-Oakland-Hayward, CA",15,Web Developers and Digital Interface Designers,"6,160","54,930","75,460","144,690","169,950"
"San Francisco-Oakland-Hayward, CA",15,"Computer Occupations, All Other","22,250","61,400","83,480","148,130","190,910"
"San Francisco-Oakland-Hayward, CA",15,Actuaries,440,"68,060","83,630","135,070","174,850"
"San Francisco-Oakland-Hayward, CA",15,Operations Research Analysts,"2,460","64,970","85,200","146,110","173,630"
"San Francisco-Oakland-Hayward, CA",15,Statisticians,"1,770","70,250","95,280","153,450","177,630"
"San Francisco-Oakland-Hayward, CA",15,"Data Scientists and Mathematical Science Occupations, All Other","1,410","89,110","111,010","160,850","194,750"
